URL,Filters,,,,,,,,,,,,,,
https://app.dealroom.co/investors/f/all_slug_locations/anyof_~united_states~/company_status/not_closed/investor_type/anyof_accelerator?selectedColumns=name%2CpreferredRound%2ChqLocations%2CdealSizeEnhanced%2CinvestorNumberOfRoundsIndustry%2CinvestorTotalFundingEnhanced%2CinvestorPorfolioSize%2CinvestmentsValuationEnhanced%2Cinvestments%2CinvestorExitsNum%2CinvestorExitScore%2CinvestorExitsFundingEnhanced%2ClpInvestmentsNum%2ClpInvestments&sort=-rounds_count_12_months&investorNumberOfRoundsIndustry=rounds_count_12_months&heatMapType=&groupId=1413&id=92070,Include All locations: United states; Investor type: Accelerator; Exclude Company status: Closed,,,,,,,,,,,,,,
ID,Type,Dealroom URL,Website,Name,HQ region,HQ country,HQ city,Sectors of focus,Launch year,Last round date,Portfolio size,Rounds number (12 months),Exits total (USD M),Exits number,Total value of current portfolio (USD M)
2984108,accelerator,https://app.dealroom.co/investors/launch_factory,http://launchfactory.com,Launch Factory,North America,United States,San Diego,,2018,Jun/2025,3,0,,,35.6
1690649,accelerator,https://app.dealroom.co/investors/sparklabs_group,http://sparklabsgroup.com,SparkLabs Group,North America,United States,Palo Alto,,2013,Jun/2026,75,1,2383.38,0,978707.15
1227059,accelerator,https://app.dealroom.co/investors/america_s_seed_fund,http://seedfund.nsf.gov,America's Seed Fund,North America,United States,Alexandria,,,Sep/2026,6,2,,,83.24
1223594,accelerator,https://app.dealroom.co/investors/genius_ny,http://geniusny.com,GENIUS NY,North America,United States,Syracuse,,2016,May/2026,51,2,14.5,0,1134.75
1222896,accelerator,https://app.dealroom.co/investors/silicon_catalyst,http://siliconcatalyst.com,Silicon Catalyst,North America,United States,Santa Clara,,2014,Jun/2026,75,2,,0,5653.24
1217544,accelerator,https://app.dealroom.co/investors/catalyzecu,https://www.colorado.edu/catalyzecu/,CatalyzeCU,North America,United States,Boulder,,2014,Jan/2026,33,2,,0,34.32
960705,accelerator,https://app.dealroom.co/investors/bullish,http://bullish.co/,Bullish,North America,United States,New York City,,2015,Aug/2026,36,2,4381,0,1630.26
952996,accelerator,https://app.dealroom.co/investors/starttech_ventures,https://www.starttech.vc/,Starttech Ventures,Europe,Greece,Municipality of Nea Ionia,,2012,Jan/2026,17,2,,0,41.94
952626,accelerator,https://app.dealroom.co/investors/leap_venture_studio,https://www.leapventurestudio.com,Leap Venture Studio,North America,United States,Los Angeles,,2018,Jul/2025,50,0,,0,553.62
6132519,accelerator,https://app.dealroom.co/investors/diagnostics_accelerator,https://www.alzdiscovery.org/research-and-grants/diagnostics-accelerator,Diagnostics Accelerator,North America,United States,New York City,neurology;degenerative diseases;biomarkers,,Jul/2025,1,0,,,60
6112139,accelerator,https://app.dealroom.co/investors/velocity_7,https://www.mivelocity.com/,Velocity,North America,United States,Sterling Heights,defence applications;additive manufacturing,,Jul/2025,1,0,,,
5925342,accelerator,https://app.dealroom.co/investors/blueswell_accelerator,,BlueSwell accelerator,North America,United States,Cambridge,,,May/2025,3,0,,0,0.4
5913201,accelerator,https://app.dealroom.co/investors/oregon_uas_accelerator,http://oregonuas.org,Oregon UAS Accelerator,North America,United States,Pendleton,drones;defence;aviation and aerospace;dt and ls,2024,Jun/2025,1,0,,,
5696895,accelerator,https://app.dealroom.co/investors/silkroad_innovation_hub,https://silkroadinnovationhub.com,Silkroad Innovation Hub,North America,United States,Palo Alto,,2023,Nov/2025,5,1,,,80.3
5584450,accelerator,https://app.dealroom.co/investors/morgan_stanley_inclusive_ventures_lab,https://www.morganstanley.com/about-us/diversity/inclusive-ventures-lab,Morgan Stanley Inclusive Ventures Lab,North America,United States,New York City,,,Jul/2026,87,1,,0,717.78
5394624,accelerator,https://app.dealroom.co/investors/inception_studio,http://inceptionstudio.org,Inception Studio,North America,United States,Palo Alto,,2022,Sep/2025,30,1,,0,15
5378539,accelerator,https://app.dealroom.co/investors/gitlab_foundation,https://www.gitlabfoundation.org/,GitLab Foundation,North America,United States,San Francisco,,2022,Mar/2026,1,1,,,8
