name,website,domain,cohort,state,sector
SustentaBEE Polinizando Experiências,http://www.sustentabee.com,sustentabee.com,2024.2,Santa Catarina,Preservação Ambiental
Synd,https://sites.google.com/view/synd-digital/home,sites.google.com,2024.2,São Paulo,Agronegócio
TECHNOSFERA,https://www.technosfera.com.br/,technosfera.com.br,2024.2,São Paulo,Saneamento
Teciteca & Teci,https://tecitecateci.lojavirtualnuvem.com.br/,tecitecateci.lojavirtualnuvem.com.br,2024.2,Espírito Santo,N/A
Tugani Cosméticos Veganos,http://www.tugani.com.br,tugani.com.br,2024.2,Mato Grosso,Cosméticos
VERUM BIOTECNOLOGIA,https://www.instagram.com/verumbiotecnologia,instagram.com,2024.2,Rio Grande do Sul,Agricultura
Virapuru Engenharia e Sustentabilidade LTDA,http://virapuru.com,virapuru.com,2024.2,Pará,Saneamento
Viverde Casa,http://www.viverdecasa.com/site,viverdecasa.com,2024.2,Pernambuco,Construção civil
Warux,https://www.instagram.com/waruxhealth,instagram.com,2024.2,Santa Catarina,Saúde
ABASTECENDO,http://www.abastecendo.com.br,abastecendo.com.br,2024.1,Rio Grande do Norte,Tecnologia da Informação e Comunicação
Afeto Natural,http://www.afetonatural.com.br,afetonatural.com.br,2024.1,São Paulo,Cosméticos
Agromais.Cloud,https://www.agromais.cloud/,agromais.cloud,2024.1,Amapá,Agronegócio
Agua Conectada,http://splora.com.br,splora.com.br,2024.1,Rio Grande do Sul,Saneamento
AlecrimVi Biocosmeticos,http://www.Alecrimvi.com.br,alecrimvi.com.br,2024.1,Minas Gerais,Cosméticos
Alertacar,https://alertacar.com.br,alertacar.com.br,2024.1,Rio Grande do Sul,Automóveis
Alliance Investimentos e Negócios Imobiliários Ltda,,,2024.1,São Paulo,Outros serviços
AMIGA PET,http://www.amigapet.com.br,amigapet.com.br,2024.1,São Paulo,Pet
Aquacerti,https://www.aquacerti.com.br/,aquacerti.com.br,2024.1,São Paulo,Agronegócio
Baasic,http://baasic.com.br,baasic.com.br,2024.1,Sergipe,Setor financeiro
Bidmex,https://www.bidmex.com.br/,bidmex.com.br,2024.1,Pernambuco,Serviços Logísticos
BIM app,https://bimapp.com.br/,bimapp.com.br,2024.1,Minas Gerais,Construção civil
BIOTEQUI,https://www.instagram.com/biotequibr?igsh=MTVoYzAyemF1ZGYwOQ==,instagram.com,2024.1,Piauí,Agronegócio
Casa AMABILITAR,https://www.linkedin.com/posts/kelly-marques-de-sousa-bontempo,linkedin.com,2024.1,Maranhão,Saúde
CASCALHO,http://cascalhokids.com.br/,cascalhokids.com.br,2024.1,Pernambuco,Educação
CashCoffee,http://www.cashcoffee.com.br,cashcoffee.com.br,2024.1,Pernambuco,Varejo
clapesme,http://www.clapesme.com.br,clapesme.com.br,2024.1,São Paulo,Tecnologia da Informação e Comunicação
Collection Center,https://www.collectioncenter.com.br/,collectioncenter.com.br,2024.1,Bahia,Setor financeiro
Comments,https://commentstech.com/,commentstech.com,2024.1,Sergipe,Marketing e Mídia
Compartilhe Saúde,https://hml.sejacompartilhe.com.br/,hml.sejacompartilhe.com.br,2024.1,Espírito Santo,Saúde
Comuniverso - Cultura de Comunicação Interna Positiva,http://www.comuniverso.com.br,comuniverso.com.br,2024.1,Santa Catarina,Educação
Controllei BPO Financeiro,https://controllei.com/,controllei.com,2024.1,Rondônia,Setor financeiro
De Carona Pelo Mundo,https://www.instagram.com/decaronapelomundo/,instagram.com,2024.1,São Paulo,Turismo e Hotelaria
Dentalcubic 3d Printer,http://www.dentalcubic3dprinter.com.br,dentalcubic3dprinter.com.br,2024.1,Rio de Janeiro,Saúde
DGTAX,https://www.dgtax.com.br/,dgtax.com.br,2024.1,Bahia,Setor financeiro
Dispositivo para Medir as Impurezas dos Combustíveis - DMIC,,,2024.1,Paraíba,Automóveis
DynamicFlow (DyFlow),https://lp.iform.online/,lp.iform.online,2024.1,Amapá,Tecnologia da Informação e Comunicação
